Record Length,Analog:14000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V,,,
Vertical Scale,CH1:+2.240000E-01,,,
Vertical Offset,CH1:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,10000.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX3R1990,,,
Software Version,8.1.6.1.33,,,
Source,CH1
Second,Volt
+6.550000E-03,+8.960000E-03
+6.560000E-03,+8.960000E-03
+6.570000E-03,+8.960000E-03
+6.580000E-03,+0.000000E+00
+6.590000E-03,+8.960000E-03
+6.600000E-03,+8.960000E-03
+6.610000E-03,+0.000000E+00
+6.620000E-03,+0.000000E+00
+6.630000E-03,+8.960000E-03
+6.640000E-03,+0.000000E+00
+6.650000E-03,+0.000000E+00
+6.660000E-03,+8.960000E-03
+6.670000E-03,+0.000000E+00
+6.680000E-03,+8.960000E-03
+6.690000E-03,+8.960000E-03
+6.700000E-03,+8.960000E-03
+6.710000E-03,+8.960000E-03
+6.720000E-03,+8.960000E-03
+6.730000E-03,+8.960000E-03
+6.740000E-03,+0.000000E+00
+6.750000E-03,+8.960000E-03
+6.760000E-03,+0.000000E+00
+6.770000E-03,+8.960000E-03
+6.780000E-03,+0.000000E+00
+6.790000E-03,+8.960000E-03
+6.800000E-03,+8.960000E-03
+6.810000E-03,+8.960000E-03
+6.820000E-03,+8.960000E-03
+6.830000E-03,+1.792000E-02
+6.840000E-03,+1.792000E-02
+6.850000E-03,+8.960000E-03
+6.860000E-03,+8.960000E-03
+6.870000E-03,+8.960000E-03
+6.880000E-03,+8.960000E-03
+6.890000E-03,+8.960000E-03
+6.900000E-03,+8.960000E-03
+6.910000E-03,+8.960000E-03
+6.920000E-03,+0.000000E+00
+6.930000E-03,+0.000000E+00
+6.940000E-03,+0.000000E+00
+6.950000E-03,+0.000000E+00
+6.960000E-03,+0.000000E+00
+6.970000E-03,+0.000000E+00
+6.980000E-03,+0.000000E+00
+6.990000E-03,+0.000000E+00
+7.000000E-03,+0.000000E+00
+7.010000E-03,+0.000000E+00
+7.020000E-03,+0.000000E+00
+7.030000E-03,+0.000000E+00
+7.040000E-03,+0.000000E+00
+7.050000E-03,+8.960000E-03
+7.060000E-03,+8.960000E-03
+7.070000E-03,+1.792000E-02
+7.080000E-03,+8.960000E-03
+7.090000E-03,+8.960000E-03
+7.100000E-03,+0.000000E+00
+7.110000E-03,+8.960000E-03
+7.120000E-03,+8.960000E-03
+7.130000E-03,+8.960000E-03
+7.140000E-03,+8.960000E-03
+7.150000E-03,+8.960000E-03
+7.160000E-03,+0.000000E+00
+7.170000E-03,+8.960000E-03
+7.180000E-03,+0.000000E+00
+7.190000E-03,+0.000000E+00
+7.200000E-03,+8.960000E-03
+7.210000E-03,+0.000000E+00
+7.220000E-03,+0.000000E+00
+7.230000E-03,+0.000000E+00
+7.240000E-03,+0.000000E+00
+7.250000E-03,+0.000000E+00
+7.260000E-03,+8.960000E-03
+7.270000E-03,+0.000000E+00
+7.280000E-03,+8.960000E-03
+7.290000E-03,+0.000000E+00
+7.300000E-03,+0.000000E+00
+7.310000E-03,+1.792000E-02
+7.320000E-03,+0.000000E+00
